gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10,LV11,LV12,LV13,LV14,LV15,LV16,LV17,LV18,LV19,LV20,LV21,LV22,LV23,LV24,LV25,LV26,LV27,LV28,LV29,LV30
GAS6,0.0,0.0,0.013179795426218903,0.0,0.19562727533908839,0.07320792841515926,0.0,0.27087106933652405,0.1148477585360444,0.07190678463243175,0.0,0.1162887818694233,0.0,0.0,0.0,0.016685220148839455,0.05184302080971734,0.0,0.045933193243421475,0.0,0.0,0.0,0.0,0.0,0.0,0.13792535596826494,0.007086820956871817,0.04853523875092958,0.0220859365766757,0.0
MMP14,0.07541353291315551,0.01933527107734253,0.0,0.0,0.2674651392613394,0.046828436403221804,0.0,0.0424227830772572,0.0,0.0,0.0,0.07281376022052374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05018262222908405,0.08357077472202297,0.1641170725297445,0.10283917245405082,0.08864620140524698,0.0,0.0,0.027044482926457374,0.11498596768597794
MARCKSL1,0.0,0.0,0.0,0.0,0.0,0.028909385000937395,0.003097806733254325,0.0,0.0,0.0,0.0,0.0684716526493032,0.0,0.0,0.061280226541365085,0.04196325458772525,0.07526959933702827,0.022414274814196215,0.028517244801799766,0.08961476406963073,0.0,0.0,0.26506760502238613,0.13715340010580196,0.0,0.0,0.0,0.0,0.0,0.10438025132427749
SPARC,0.0,0.0,0.010161708152617502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14849046916120578,0.024878309960207533,0.22811609730724683,0.0,0.0,0.031293448052721225,0.02509919654544239,0.0023735156248885407,0.017415790404740124,0.5141472906252694,0.0,0.0,0.0,0.016195825826288972,0.024749095716879842,0.0,0.0,0.0,0.022698903029010953,0.07126920760626748
CTSD,0.0,0.06811019873052195,0.0,0.0,0.12440549898704883,0.0,0.0,0.0,0.0,0.0,0.012622864855184757,0.18598180950140522,0.03252481206982143,0.02808834157979612,0.0,0.0,0.0,0.038041473484704255,0.0,0.0,0.02286291071666064,0.037416659102568174,0.22302961535204816,0.01008697294119014,0.0056948156885600594,0.0,0.025713080584723918,0.003710324948203827,0.0,0.050365605618964145
EPAS1,0.0,0.08595635882666665,0.0,0.0,0.02989011842718384,0.021644998404896452,0.015527611934839317,0.0,0.1599797682243044,0.0,0.07626220323750302,0.0,0.05948296830067319,0.0,0.0,0.0,0.18349401296705922,0.1590291911588698,0.08191845786834157,0.08798142561520415,0.0,0.04499251523346913,0.0,0.0,0.0,0.27098232299776526,0.0,0.004114742238597362,0.11361365169812501,0.0
PALLD,0.00012521026623991168,0.0,0.0,0.0,0.003086714497983094,0.0,0.20544287383103432,0.0,0.02191542037794183,0.0,0.07502230782926479,0.0526182406777232,0.018788893776167076,0.3569653921850283,0.0,0.02555510943217415,0.0,0.06900625406687577,0.008561725562152653,0.10169557123696144,0.15609009810537794,0.0,0.0,0.0,0.0,0.028300923078028502,0.03354277987205045,0.04062966647997736,0.0,0.0
PHC2,0.0,0.22540634242757238,0.0,0.0,0.0,0.06641942038757183,0.0,0.0,0.06358055973957825,0.0878924745391179,0.0036396664832719916,0.0,0.0,0.004120649753856145,0.0,0.0,0.12362688059376727,0.17726808484965542,0.029577605816995065,0.0,0.0,0.03954039817531943,0.05016769627530715,0.0,0.0,0.04949546617151953,0.0,0.032147071023134695,0.0,0.0
LGALS3BP,0.0,0.0,0.0,0.15634035768793597,0.0,0.08625303101541823,0.0,0.0,0.0,0.10159541623297619,0.0,0.11151523376096463,0.017376814283502174,0.0,0.040187360500359,0.0,0.0,0.0,0.03190417291756321,0.03521574536280325,0.0,0.0,0.0,0.0,0.0,0.009120129687970822,0.3427102745667452,0.027599135777681336,0.0,0.11481762365768447
SERPING1,0.027041561685356708,0.0,0.0,0.0,0.0,0.032725014834884554,0.0,0.011694717865896733,0.0,0.10599163864689282,0.0,0.0,0.026963679932555336,0.0,0.05461762841200682,0.0,0.029830949141891987,0.0,0.0,0.19437152884330985,0.0,0.0,0.025351389751778287,0.0,0.0,0.0,0.4782851899876707,0.024651526882031705,0.01722395273476531,0.0
TGM2,0.004427022323337958,0.008771920264583163,0.0,0.0,0.0,0.0,0.0,0.034062508744024875,0.0,0.04761713493445786,0.29539019154752405,0.0,0.29005906593094544,0.012562012455417285,0.0,0.0,0.013564239986013324,0.017363674745725817,0.15513062322684726,0.14989399518461513,0.009564174535597027,0.04226790713191986,0.027056501078652023,0.0,0.019667418799919397,0.0,0.0,0.0,0.0,0.0
THBS1,0.0334761781131005,0.01628718738812705,0.0,0.06758729537756165,0.09231616708429422,0.037854817099799064,0.0,0.0,0.0,0.07066598831281637,0.0,0.09199779185770837,0.014555969588983853,0.0,0.09784037546661263,0.0,0.026583371499453487,0.0,0.0,0.13457801750356543,0.04636199927011052,0.2654058943320315,0.0,0.0,0.009363542496063486,0.0,0.13468939707252728,0.0,0.0,0.0
ITGB5,0.0,0.0,0.0,0.014663627063376285,0.0,0.03881072229080084,0.0,0.015606287868457545,0.0,0.0,0.1008067932092737,0.049745928551726944,0.08995155630357077,0.010306338136589394,0.0,0.0,0.03263026098110565,0.0,0.0,0.5078988939556447,0.036502280138980846,0.0,0.0,0.07347382764179804,0.0,0.0,0.02741105999089489,0.0,0.0,0.0005783868039800775
CREG1,0.0,0.13008780634085776,0.0,0.0,0.3238817184856107,0.0,0.04930118145854888,0.0,0.02632867588043286,0.00331255526441699,0.1292379920902904,0.0,0.22981135213201415,0.0,0.0,0.0,0.08827972234670182,0.08456818039635335,0.0,0.0,0.0,0.054490252495919024,0.024682282669716633,0.0,0.0,0.0,0.05344734395875445,0.0,0.0,0.051408190031399806
CSTB,0.0,0.0,0.029786295297828037,0.0,0.06662202835276415,0.0,0.13045935396273076,0.00246754557008652,0.008228399109893089,0.06277573989350617,0.014445154289533338,0.08860585098889147,0.06953424527937979,0.0,0.003363397030929184,0.07485538598213193,0.0,0.0,0.07352946847116223,0.0,0.0,0.020368843961486006,0.21609194975039003,0.0,0.011542196026096838,0.0035666273192188278,0.04711359943325334,0.0,0.0,0.0
DAB2,0.0,0.0,0.0,0.14129354768252492,0.0,0.0,0.03216546018390543,0.0,0.053227898651723025,0.0,0.025043615953451833,0.0,0.0751296210354976,0.0,0.015078167747320848,0.0,0.0,0.05231034678594003,0.10259884899641465,0.26668170278362796,0.0,0.011295405457668864,0.0,0.18599820255963553,0.33627132654919994,0.04633374998752185,0.028788953978144415,0.03242457388632206,0.0,0.0
